country,colonizer,col,colstart_max,colend_max,colstart_mean,colend_mean,Duration,wiki
United Arab Emirates,britain,1,1892,1971,1892,1971,79,https://it.wikipedia.org/wiki/Emirati_Arabi_Uniti
United States,britain,1,1607,1783,1607,1781,174,https://it.wikipedia.org/wiki/Stati_Uniti_d%27America
Vanuatu,britain,1,1906,1980,1906,1980,74,https://it.wikipedia.org/wiki/Vanuatu
Yemen,britain,1,1959,1967,1879,1967,88,https://it.wikipedia.org/wiki/Yemen
Zambia,britain,1,1923,1964,1900,1964,64,https://it.wikipedia.org/wiki/Zambia
Zimbabwe,britain,1,1923,1980,1900,1975,75,https://it.wikipedia.org/wiki/Zimbabwe
Algeria,france,1,1848,1962,1836,1962,126,https://it.wikipedia.org/wiki/Algeria
Benin,france,1,1894,1960,1873,1960,87,https://it.wikipedia.org/wiki/Benin
Burkina Faso,france,1,1895,1960,1895,1960,65,https://it.wikipedia.org/wiki/Burkina_Faso
Cambodia,france,1,1884,1953,1868,1952,84,https://it.wikipedia.org/wiki/Cambogia
Cameroon,france,1,1922,1960,1922,1960,38,https://it.wikipedia.org/wiki/Camerun
Canada,france,1,1608,1763,1608,1763,155,https://it.wikipedia.org/wiki/Canada
Central African Republic,france,1,1906,1960,1898,1960,62,https://it.wikipedia.org/wiki/Repubblica_Centrafricana
Chad,france,1,1910,1960,1899,1960,61,https://it.wikipedia.org/wiki/Ciad
Comoros,france,1,1914,1975,1878,1975,97,https://it.wikipedia.org/wiki/Comore
Congo - Brazzaville,france,1,1882,1960,1881,1960,79,https://it.wikipedia.org/wiki/Repubblica_del_Congo
Côte d’Ivoire,france,1,1889,1960,1869,1960,91,https://it.wikipedia.org/wiki/Costa_d%27Avorio
Djibouti,france,1,1884,1977,1869,1977,108,https://it.wikipedia.org/wiki/Gibuti
Dominica,france,1,1632,1763,1632,1763,131,https://it.wikipedia.org/wiki/Dominica
Gabon,france,1,1886,1960,1855,1960,105,https://it.wikipedia.org/wiki/Gabon
Grenada,france,1,1650,1762,1650,1762,112,https://it.wikipedia.org/wiki/Grenada
Guinea,france,1,1881,1958,1858,1958,100,https://it.wikipedia.org/wiki/Guinea
Haiti,france,1,1665,1804,1665,1804,139,https://it.wikipedia.org/wiki/Haiti
Laos,france,1,1893,1954,1892,1952,60,https://it.wikipedia.org/wiki/Laos
Lebanon,france,1,1923,1946,1921,1946,25,https://it.wikipedia.org/wiki/Libano
Madagascar,france,1,1895,1960,1890,1960,70,https://it.wikipedia.org/wiki/Madagascar
Mali,france,1,1904,1960,1897,1960,63,https://it.wikipedia.org/wiki/Mali
Mauritania,france,1,1903,1960,1882,1960,78,https://it.wikipedia.org/wiki/Mauritania
Mauritius,france,1,1715,1810,1715,1810,95,https://it.wikipedia.org/wiki/Mauritius
Morocco,france,1,1912,1956,1912,1956,44,https://it.wikipedia.org/wiki/Marocco
Niger,france,1,1922,1960,1910,1960,50,https://it.wikipedia.org/wiki/Niger
Senegal,france,1,1854,1960,1770,1960,190,https://it.wikipedia.org/wiki/Senegal
Seychelles,france,1,1756,1794,1756,1794,38,https://it.wikipedia.org/wiki/Seychelles
St. Lucia,france,1,1650,1814,1650,1814,164,https://it.wikipedia.org/wiki/Saint_Lucia
Syria,france,1,1923,1946,1922,1944,22,https://it.wikipedia.org/wiki/Siria
Togo,france,1,1922,1960,1922,1960,38,https://it.wikipedia.org/wiki/Togo
Tunisia,france,1,1881,1956,1877,1956,79,https://it.wikipedia.org/wiki/Tunisia
Vanuatu,france,1,1887,1980,1887,1980,93,https://it.wikipedia.org/wiki/Vanuatu
Vietnam,france,1,1887,1954,1869,1951,82,https://it.wikipedia.org/wiki/Vietnam
Burundi,germany,1,1899,1922,1894,1922,28,https://it.wikipedia.org/wiki/Burundi
Cameroon,germany,1,1884,1916,1884,1915,31,https://it.wikipedia.org/wiki/Camerun
Ghana,germany,1,1884,1916,1884,1916,32,https://it.wikipedia.org/wiki/Ghana
Marshall Islands,germany,1,1885,1914,1885,1914,29,https://it.wikipedia.org/wiki/Isole_Marshall
Namibia,germany,1,1885,1915,1882,1914,32,https://it.wikipedia.org/wiki/Namibia
